#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
0.011187106,-0.0010700226,A,X,0.1
-0.0032802522,-0.00081634521,A,X,0.1
0.0040254295,-0.00034332275,A,X,0.1
-0.0021205246,-0.00091552734,A,X,0.1
0.0021697581,-0.00082397461,A,X,0.1
-0.002999872,-0.0002784729,A,X,0.1
-0.00017127395,-0.00032424927,A,X,0.1
-0.0030111969,0.0007019043,A,X,0.1
-0.0080389678,-0.00046730042,A,X,0.1
5.13E-05,-0.0018234253,A,X,0.1
0.0019517243,0.00091171265,A,X,0.1
-0.0050611198,-4.20E-05,A,X,0.1
0.0016565025,0.00025177002,A,X,0.1
-0.003074199,-0.0002155304,A,X,0.1
0.002638191,0.00045585632,A,X,0.1
-0.0044866502,-0.00041389465,A,X,0.1
0.0040096343,0.00018310547,A,X,0.1
-0.004196316,-0.00093460083,A,X,0.1
0.0017443001,-0.00023841858,A,X,0.1
0.0046393573,0.00015449524,A,X,0.1
0.0052949488,0.00039100647,A,X,0.1
-0.0017841756,0.00036621094,A,X,0.1
0.0016145408,0.00032234192,A,X,0.1
-0.012782305,-0.0010910034,A,X,0.1
0.00378111,0.00033378601,A,X,0.1
0.001381129,-0.0002155304,A,X,0.1
0.005874604,-0.0012798309,A,X,0.1
-0.0027807057,0.0006942749,A,X,0.1
0.00074842572,-0.0011520386,A,X,0.1
0.00449875,-0.0013122559,A,X,0.1
-0.00012794137,0.0001449585,A,X,0.1
0.00026002526,-0.00094604492,A,X,0.1
-0.0065200031,-0.0038299561,A,X,0.1
0.0021254122,-0.005739212,A,X,0.1
-0.0012375414,-0.010360718,A,X,0.1
0.0009316504,-0.015785217,A,X,0.1
-0.00019773841,-0.021299362,A,X,0.1
-0.0059353411,-0.026111603,A,X,0.1
-0.00036767125,-0.031476974,A,X,0.1
-0.0027185977,-0.037639618,A,X,0.1
-0.0017782152,-0.041561127,A,X,0.1
-0.0032431781,-0.047878265,A,X,0.1
-0.0071721375,-0.053689957,A,X,0.1
-0.0045491755,-0.057609558,A,X,0.1
-0.0015697777,-0.061878204,A,X,0.1
-0.0031065643,-0.067455292,A,X,0.1
0.0011510551,-0.073757172,A,X,0.1
0.00054684281,-0.078744888,A,X,0.1
-0.0033071935,-0.083726883,A,X,0.1
0.0092827976,-0.088464737,A,X,0.1
-9.66E-05,-0.094179153,A,X,0.1
