Force,Displacement,Design,Direction,Displacement Rate
0.004666537,-0.62401581,A,X,0.1
-0.006285995,-0.62965202,A,X,0.1
0.007175177,-0.63379478,A,X,0.1
-0.001240939,-0.64090157,A,X,0.1
0.007630557,-0.64509583,A,X,0.1
-0.004848212,-0.64871597,A,X,0.1
0.001357526,-0.65418434,A,X,0.1
-0.002326995,-0.65916824,A,X,0.1
-0.000843555,-0.66561127,A,X,0.1
-0.003277451,-0.66856384,A,X,0.1
-0.000137299,-0.67502403,A,X,0.1
-0.005375236,-0.67905045,A,X,0.1
0.005071253,-0.68477249,A,X,0.1
-0.002165765,-0.68960762,A,X,0.1
0.001660496,-0.69469261,A,X,0.1
-0.005317956,-0.69997787,A,X,0.1
0.002080649,-0.70425987,A,X,0.1
-0.006217986,-0.70921326,A,X,0.1
0.007389396,-0.71383476,A,X,0.1
-0.006149977,-0.71904755,A,X,0.1
-0.004860967,-0.72375488,A,X,0.1
-0.001018256,-0.73018837,A,X,0.1
0.006740421,-0.73490906,A,X,0.1
-0.006979078,-0.73967171,A,X,0.1
0.001249462,-0.7437191,A,X,0.1
-0.001105696,-0.7483139,A,X,0.1
-0.004052907,-0.75480461,A,X,0.1
0.00370428,-0.75868034,A,X,0.1
-0.003559619,-0.7647171,A,X,0.1
-0.007961839,-0.76922607,A,X,0.1
-0.001300246,-0.77402878,A,X,0.1
-0.003424078,-0.77960968,A,X,0.1
-0.001970381,-0.78470612,A,X,0.1
-0.000166863,-0.79005051,A,X,0.1
